,Term,pval,padj,NES,Top_up,Top_down,Direction_up,Direction_down
alfuzosin-3203,alfuzosin-3203,0.802,0.9534593646462678,-0.10410433615831277,100.0,98.52941176470588,neg,neg
alfuzosin-4644,alfuzosin-4644,0.967,0.9915447974449487,0.016327145426583978,0.0,0.0,pos,pos
alfuzosin-5242,alfuzosin-5242,0.715,0.9377127659574469,0.16536753953354721,100.0,98.33333333333333,neg,neg
alfuzosin-5605,alfuzosin-5605,0.6465,0.922772971709142,0.22082590491567744,0.0,0.0,pos,pos
alimemazine-2736,alimemazine-2736,0.5315,0.915288279773157,-0.42241242304023846,100.0,100.0,neg,neg
alimemazine-3478,alimemazine-3478,0.9785,0.993905472636816,-0.010008636918743874,0.0,0.0,pos,pos
alimemazine-5881,alimemazine-5881,0.788,0.9472757671125097,-0.11059383944560841,97.26027397260275,97.01492537313433,neg,neg
alimemazine-7235,alimemazine-7235,0.01,0.0898379970544919,-1.4105349957280675,100.0,0.0,neg,pos
allantoin-1678,allantoin-1678,0.7415,0.9426814140996487,0.14871548662417866,100.0,96.875,neg,neg
allantoin-1800,allantoin-1800,0.017,0.12456242707117855,-1.345706530147955,100.0,0.0,neg,pos
allantoin-1842,allantoin-1842,0.475,0.915288279773157,-0.7011234878132617,100.0,100.0,neg,neg
allantoin-5052,allantoin-5052,0.0475,0.23385794995964487,1.218474701679359,0.0,100.0,pos,neg
allantoin-5471,allantoin-5471,0.901,0.9800659418998395,-0.04935526139558133,98.55072463768117,100.0,neg,neg
alpha-ergocryptine-2572,alpha-ergocryptine-2572,0.023,0.14287169042769857,-1.2922571479933223,98.52941176470588,0.0,neg,pos
alpha-ergocryptine-3434,alpha-ergocryptine-3434,0.018,0.12664359861591695,-1.3286818278924617,100.0,0.0,neg,pos
alpha-ergocryptine-3817,alpha-ergocryptine-3817,0.6485,0.9244800186959569,0.21932027390785408,0.0,0.0,pos,pos
alpha-ergocryptine-3900,alpha-ergocryptine-3900,0.9365,0.983418497700562,-0.03198994172792502,98.66666666666667,98.38709677419355,neg,neg
alpha-ergocryptine-4374,alpha-ergocryptine-4374,0.0035,0.048412698412698414,-1.5504881190751838,98.24561403508771,1.6666666666666667,neg,pos
alpha-ergocryptine-4552,alpha-ergocryptine-4552,0.7715,0.9446098868374032,0.12242388233346269,100.0,98.33333333333333,neg,neg
alpha-estradiol-1048,alpha-estradiol-1048,0.5015,0.915288279773157,0.6280171280991369,1.36986301369863,100.0,pos,neg
alpha-estradiol-1151,alpha-estradiol-1151,0.602,0.915288279773157,-0.2726081308161854,100.0,100.0,neg,neg
alpha-estradiol-1210,alpha-estradiol-1210,0.873,0.9732757068251396,-0.06435940899340387,100.0,98.63013698630137,neg,neg
