,Term,pval,padj,NES,Top_up,Top_down,Direction_up,Direction_down
fusaric acid-1308,fusaric acid-1308,0.5688,0.9243036178765666,0.30298496518000717,100.0,98.76543209876543,neg,neg
fusaric acid-3245,fusaric acid-3245,0.0006,0.011261538461538462,-1.8185293275955656,98.76543209876543,1.25,neg,pos
fusaric acid-3986,fusaric acid-3986,0.868,0.9766297935103244,0.06824295087319565,100.0,97.5,neg,neg
fusaric acid-4105,fusaric acid-4105,0.8122,0.9635200311162972,0.0973561633709874,100.0,100.0,neg,neg
fusidic acid-1293,fusidic acid-1293,0.5108,0.9243036178765666,-0.4795184813528667,100.0,100.0,neg,neg
fusidic acid-2647,fusidic acid-2647,0.5732,0.9243036178765666,-0.29532599302066975,100.0,97.43589743589743,neg,neg
fusidic acid-5353,fusidic acid-5353,0.0064,0.042713347921225386,-1.5169951702115636,98.88888888888889,0.0,neg,pos
fusidic acid-6754,fusidic acid-6754,0.0396,0.1450810810810811,-1.2811769691296404,98.80952380952381,0.0,neg,pos
gabapentin-2731,gabapentin-2731,0.6438,0.9259311314125087,0.2073855659257155,0.0,0.0,pos,pos
gabapentin-3472,gabapentin-3472,0.0172,0.07912518853695324,-1.3909700061100654,97.72727272727273,0.0,neg,pos
gabapentin-5875,gabapentin-5875,0.7988,0.9601851851851853,0.10498692140667543,97.61904761904762,97.5609756097561,neg,neg
gabapentin-7229,gabapentin-7229,0.083,0.2494088669950739,-1.1569704197090438,100.0,0.0,neg,pos
gabexate-2937,gabexate-2937,0.9402,0.9927636803038149,0.0317476918981604,100.0,100.0,neg,neg
gabexate-4220,gabexate-4220,0.373,0.9046918489065606,0.8085468725880893,0.0,98.73417721518987,pos,neg
gabexate-4804,gabexate-4804,0.4892,0.9243036178765666,-0.6281703348273859,100.0,98.75,neg,neg
gabexate-7357,gabexate-7357,0.0084,0.04833962264150943,-1.4769293640086132,100.0,0.0,neg,pos
galantamine-2131,galantamine-2131,0.9106,0.9899056099732859,0.04661647142846148,100.0,100.0,neg,neg
galantamine-2787,galantamine-2787,0.1036,0.2971133051245886,1.1195971292838371,0.0,100.0,pos,neg
galantamine-4186,galantamine-4186,0.9306,0.9903354771423606,-0.03587195156176448,98.9010989010989,98.7012987012987,neg,neg
galantamine-4772,galantamine-4772,0.9464,0.9927697594501719,-0.028384061002652228,100.0,100.0,neg,neg
gallamine triethiodide-1375,gallamine triethiodide-1375,0.5508,0.9243036178765666,-0.33620142357046323,98.88888888888889,100.0,neg,neg
gallamine triethiodide-2059,gallamine triethiodide-2059,0.517,0.9243036178765666,0.4355927126240037,100.0,97.82608695652173,neg,neg
gallamine triethiodide-2221,gallamine triethiodide-2221,0.6384,0.9243036178765666,0.21210680048617625,100.0,98.73417721518987,neg,neg
gallamine triethiodide-5735,gallamine triethiodide-5735,0.0138,0.0684947111472742,-1.4167821739212731,96.47058823529412,0.0,neg,pos
gallamine triethiodide-6215,gallamine triethiodide-6215,0.5874,0.9243036178765666,-0.2766935814395708,100.0,100.0,neg,neg
ganciclovir-3030,ganciclovir-3030,0.508,0.9243036178765666,0.5067436690647384,98.83720930232558,100.0,neg,neg
ganciclovir-3368,ganciclovir-3368,0.518,0.9243036178765666,-0.4299394394032108,98.76543209876543,100.0,neg,neg
ganciclovir-5389,ganciclovir-5389,0.0014,0.018247863247863247,-1.6993269060812675,100.0,0.0,neg,pos
ganciclovir-6289,ganciclovir-6289,0.1218,0.3386417502278943,1.0924428386860496,0.0,97.72727272727273,pos,neg
gefitinib-541,gefitinib-541,0.0002,0.005446428571428572,1.8834785778346237,0.0,100.0,pos,neg
geldanamycin-1008,geldanamycin-1008,0.5102,0.9243036178765666,-0.48522607851979904,100.0,100.0,neg,neg
geldanamycin-1066,geldanamycin-1066,0.0002,0.005446428571428572,-2.9013787003440434,100.0,0.0,neg,pos
geldanamycin-1169,geldanamycin-1169,0.593,0.9243036178765666,0.26793857289036005,100.0,100.0,neg,neg
geldanamycin-1228,geldanamycin-1228,0.0038,0.03234848484848484,-1.6005158664082102,100.0,0.0,neg,pos
geldanamycin-1653,geldanamycin-1653,0.0002,0.005446428571428572,-2.2049774479292905,100.0,0.0,neg,pos
geldanamycin-2688,geldanamycin-2688,0.9128,0.9903354771423606,0.04593693155709522,100.0,100.0,neg,neg
geldanamycin-4452,geldanamycin-4452,0.2654,0.6648624229979467,-0.9185331966263893,98.88888888888889,100.0,neg,neg
geldanamycin-5225,geldanamycin-5225,0.0002,0.005446428571428572,-2.56961856924612,100.0,0.0,neg,pos
geldanamycin-5588,geldanamycin-5588,0.2644,0.6629017673653926,-0.9195937169388293,98.79518072289156,100.0,neg,neg
geldanamycin-593,geldanamycin-593,0.0384,0.14414769230769228,-1.2901266381768988,100.0,98.78048780487805,neg,neg
geldanamycin-611,geldanamycin-611,0.4896,0.9243036178765666,-0.6223356105567655,100.0,100.0,neg,neg
geldanamycin-6187,geldanamycin-6187,0.8546,0.9705939303667847,-0.07469240724858461,100.0,100.0,neg,neg
geldanamycin-6946,geldanamycin-6946,0.4268,0.9243036178765666,-0.742981886108268,98.79518072289156,98.87640449438202,neg,neg
geldanamycin-864,geldanamycin-864,0.2574,0.6469468479604451,-0.9269499448435721,100.0,100.0,neg,neg
geldanamycin-972,geldanamycin-972,0.0002,0.005446428571428572,-2.723667853749268,100.0,0.0,neg,pos
gelsemine-2162,gelsemine-2162,0.7238,0.9391198979591836,-0.14841577354554403,100.0,98.78048780487805,neg,neg
gelsemine-2817,gelsemine-2817,0.062,0.20063660477453582,-1.2050627069288242,100.0,0.0,neg,pos
gelsemine-4097,gelsemine-4097,0.0002,0.005446428571428572,1.8917854221025858,1.2345679012345678,98.55072463768117,pos,neg
