"","coef","pval","se","AIC","BIC","FDR.coef"
"11303",3.30743770373158,0.0305775146037002,0.592016925841939,11.0553460442584,8.44164040537832,0.538427619969019
"11305",-0.0257008828676569,0.881237399669108,0.151938829539539,7.38701139511496,4.77330575623485,0.949429027140765
"11306",0.15098287647574,0.837890530988485,0.649862497461261,10.1839067805491,7.57020114166894,0.92993621629454
"11307",0.254613657926271,0.783318830915519,0.811153796253707,11.0488628700505,8.43515723117036,0.899648281161728
"11308",0.147271303030464,0.730914014790605,0.372726886252512,8.74477907491725,6.13107343603714,0.874278533281239
"11350",-0.484747345585937,0.151347678868605,0.213641757020674,5.48101565900201,2.8673100201219,0.564351880829074
"11363",0.290201600477504,0.598322301940955,0.467841521302038,8.82095365670142,6.20724801782131,0.800939756354005
"11364",1.30631306007147,0.121299538673854,0.501822075305453,9.0109819702892,6.39727633140909,0.548573756362093
"11370",0.0609219512391413,0.90470094915938,0.449975750853511,8.62439676017918,6.01069112129907,0.960106098048922
"11409",-0.961245913169737,0.180784720763715,0.475821841694647,8.82073694433731,6.2070313054572,0.577578575210572
"11416",-0.00743738359643038,0.994127528657722,0.895523091876648,11.4755748743228,8.86186923544268,0.998271547307877
"11426",-0.108724481342693,0.613736797626511,0.183587428653454,7.28224239967328,4.66853676079317,0.809328271479189
"11428",-0.23676793049844,0.663539863159191,0.468582189411491,8.91258704750981,6.2988814086297,0.836271774590754
"11429",-0.242206463755338,0.358854151563371,0.204996512820443,5.84641445898408,3.23270882010397,0.666035110478652
"11430",0.478939998289691,0.379988599854013,0.428559132846687,8.36440544511178,5.75069980623167,0.679027097994125
"11431",-0.364991345878616,0.348117837318606,0.300227964582156,7.3526809188101,4.73897527992999,0.659658345700034
"11432",1.22255202722535,0.0523551097058185,0.291300447609172,6.8544587009569,4.24075306207679,0.538427619969019
"11433",3.3636553589536,0.211556538475811,1.85556756064841,15.0317395526635,12.4180339137834,0.594471911222448
"11435",-0.77657255870835,0.136630526443116,0.320917730464393,7.54319848418869,4.92949284530858,0.556770967166955
"11438",0.386083487481598,0.187836185228786,0.196115062466605,6.06410624769668,3.45040060881657,0.581855812549782
"11443",-0.569676581829233,0.16726942808667,0.267834463007525,10.6187459358468,8.00504029696668,0.573652511892898
"11444",0.559174275700369,0.437525911982836,0.581216543086374,9.63256233754186,7.01885669866175,0.708798381011346
"11459",-4.08603554310517,0.0568097107183517,1.01778671110017,11.7798886695699,9.16618303068977,0.538427619969019
"11461",-0.915010042096892,0.228482615043457,0.533536868716531,9.41371795462302,6.80001231574291,0.602607432556213
"11468",-3.6732832518492,0.142167208517214,1.5561082576786,13.5889014579201,10.97519581904,0.56272245341333
"11475",-2.71374239785433,0.164389049658944,1.2614680685446,12.792031771086,10.1783261322059,0.571848139148365
"11477",0.47167591761631,0.2911465984043,0.331879587212945,7.41285560844516,4.79914996956505,0.630600200279766
"11479",1.36480659902476,0.247533061229352,0.844715018969561,11.2121912270247,8.59848558814464,0.613865833451508
"11480",2.45505064693854,0.00639025685311695,0.197200879590803,5.86202048325791,3.2483148443778,0.538427619969019
"11481",-0.635166155626718,0.486719954508348,0.750960681462249,11.9072315144067,9.29352587552654,0.735796156353293
"11482",0.0274213419300929,0.975206549054628,0.781813566288384,10.7971242422646,8.18341860338445,0.991327516000314
"11486",-0.137385078278828,0.476523446314706,0.158120200930301,3.06846228331301,0.454756644432905,0.730261880435511
"11487",0.624349263748195,0.0462377754411393,0.139125522559852,7.70997251779927,5.09626687891916,0.538427619969019
"11488",0.329728256057601,0.170030998716432,0.156698635620611,7.81954081314204,5.20583517426193,0.574665837264889
"11489",1.01223377297017,0.19196171702564,0.521849188296032,9.30540865101219,6.69170301213208,0.584331730581658
"11490",0.209116863638591,0.664804231946159,0.415618521629821,8.19224376933424,5.57853813045413,0.836912350566283
"11491",1.53008878358676,0.0278287429553206,0.260722171245163,5.14809497680652,2.53438933792641,0.538427619969019
"11492",-1.12248049815587,0.208181012212795,0.612217190137287,9.8967934984343,7.28308785955419,0.591415740501861
"11496",1.17259985766421,0.163100872776662,0.54229115475273,11.0631411613972,8.44943552251714,0.570176955561525
"11501",-1.08293636795857,0.237421559413775,0.649587593142033,10.3396591857718,7.72595354689168,0.605466682987446
"11502",0.706917402060595,0.430621845298049,0.721713293316413,10.6199265032168,8.00622086433671,0.704954127607481
"11504",3.16780763784311,0.0472820374317361,0.714409633394762,10.6636590046082,8.04995336572806,0.538427619969019
"11512",0.0577385753263232,0.853450981719686,0.275583846070218,7.10933667282029,4.49563103394018,0.937493864680829
"11513",-0.208168674796587,0.560075893135634,0.300480200259506,6.98567750450122,4.37197186562111,0.782566152592743
"11515",0.18760624977031,0.330212078363783,0.147069334626243,5.10186877417856,2.48816313529845,0.652223832485482
"11517",-1.56373658708589,0.198039795907586,0.823653626245183,11.0230447079962,8.40933906911606,0.58638009930369
"11518",0.237560009802952,0.600143272182582,0.385055378818598,7.99259495289038,5.37888931401027,0.801845827187742
"11519",0.195089103624483,0.327730516627474,0.15190993973486,8.49080474369516,5.87709910481505,0.650342254512885
"11520",-0.273112652510061,0.767637040818544,0.80836444478374,10.9823398332867,8.36863419440661,0.89228467724687
"11532",-0.108968134454738,0.583116226187319,0.168001903741383,3.70293134337432,1.08922570449421,0.795128584862181
"11534",-0.401626873427106,0.247512555896362,0.248561913605976,6.06576461932306,3.45205898044295,0.613865833451508
"11535",-0.420585218318338,0.474296698297767,0.481236319228208,7.50388507754101,4.8901794386609,0.729275440775609
"11540",-0.220047772525968,0.287747679649405,0.153340862934938,10.2651248857388,7.65141924685872,0.630082563924659
"11541",-0.207572954288953,0.872618049642373,1.14286651687054,12.4151721225963,9.80146648371623,0.945781252090969
"11544",0.0280965094762723,0.939802280676082,0.329434450936512,7.32043003144577,4.70672439256566,0.976296245352734
"11545",-0.885438934877729,0.370325385685902,0.772448660754108,10.8651323016064,8.25142666272631,0.673744117807004
"11546",-0.364578096797346,0.612803421175759,0.613866112401993,9.89803883585592,7.28433319697582,0.80930265391668
"11551",1.0664889086387,0.472308136994457,1.21392413071002,12.4157002788672,9.80199463998709,0.727873864086019
"11556",-0.193427919046052,0.330422124319069,0.1517193476154,9.85825927947245,7.24455364059234,0.652234776478709
"11564",-1.52271547778203,0.0968256796598928,0.51176047999505,9.01795439714898,6.40424875826887,0.539129596185944
"11565",-0.340184890615525,0.582494439621492,0.523535380184109,9.4729848045807,6.85927916570059,0.794759362534409
"11566",-1.18486269865648,0.180027986970115,0.584865989652782,9.84180685537401,7.2281012164939,0.577578575210572
"11568",1.11716116067882,0.402580188493215,1.06036880529064,12.0390557100511,9.42535007117097,0.690326794947214
"11569",-0.154767962578096,0.839062904435079,0.671137511111268,10.325113074099,7.71140743521887,0.93013295177424
"11595",-1.11991630239946,0.0442141011664567,0.243641354641646,8.15765703496483,5.54395139608472,0.538427619969019
"11596",0.787587545798012,0.406181326238785,0.754587181771154,10.9654781751065,8.3517725362264,0.690859097936382
"11600",4.35668523519074,0.109811429800749,1.57665078650001,13.8866817638015,11.2729761249214,0.541815784677547
"11601",0.648983641268716,0.599911925249627,1.05119810915349,12.0103412152835,9.39663557640336,0.801723528235051
"11602",0.437263189567723,0.767885035084969,1.29568221498756,12.9270185129213,10.3133128740412,0.89228467724687
"11603",1.13060355842624,0.468765199774067,1.27499185361061,12.8319319570629,10.2182263181828,0.726192414975396
"11605",0.226304945973878,0.854600576083002,1.08887100376062,12.1813575173651,9.56765187848497,0.937498525918606
"11609",9.16577057241771,0.0436252951771343,1.97979905312179,14.6019241270077,11.9882184881275,0.538427619969019
"11610",0.887040713964719,0.150327583544016,0.389263590862868,8.11897416275388,5.50526852387377,0.563953621482208
"11614",-0.0541503008104218,0.816576343390038,0.205210249781539,6.87555557928513,4.26184994040502,0.918194732789687
"11622",2.02436567526471,0.197649724990311,1.06482359767767,12.1003056468296,9.48660000794947,0.58638009930369
"11624",-2.03648875866405,0.281894445237045,1.3955548590379,13.2319515770712,10.6182459381911,0.628834993781476
"11630",-0.357161496327046,0.195061948964131,0.186167817752911,9.9243062930212,7.31060065414109,0.584849179996589
