"","coef_T","pval_T","se_T","FDR.coef_T","coef_C","pval_C","se_C","FDR.coef_C"
"100017",-0.46746945022709,0.125943722620671,0.28846521933078,0.28799389582165,-0.689634613319398,0.127335760608441,0.272873917342615,0.551239608782942
"100019",-0.348312727671367,0.404317171852641,0.40589084567986,0.581319171671397,-1.0010328049084,0.208683669908411,0.546907097300182,0.591766988917241
"100037258",-0.825504781172584,5.24732053031672e-08,0.0828580038245077,1.86967027943309e-05,0.895896327959795,0.276257716105193,0.604021208935695,0.626912684812672
"100038347",0.352195255839452,0.651377681848955,0.763899654034926,0.770981037626875,-0.179178336925413,0.765864881805536,0.52609161232623,0.89127789832935
"100038746",-0.395369579036613,0.197732817417076,0.292376790291454,0.37888240878957,0.512126554571344,0.405567286662712,0.489885011871206,0.690859097936382
"100040608",-0.688102655129935,0.0122775619457749,0.239499104697497,0.0632909798548126,-0.340254472837055,0.372198516110495,0.29830088782606,0.675095833707177
"100043272",-0.351327790869877,0.319684758574463,0.339553319639955,0.506091443146814,-0.73624888897495,0.349962072737533,0.608595043761259,0.660797192247237
"100043597",0.0937114759418988,0.740086923764478,0.276505741988522,0.834125636109091,-0.372113490835223,0.192119320336762,0.191948002967782,0.584409681065622
"100087",-0.689149808064969,0.0464735046314421,0.317575284561648,0.152083095737925,-1.88709752460993,0.0154947730177626,0.237673112578675,0.538427619969019
"100088",-0.277980473329116,0.394339420812197,0.316983612200884,0.573163309290456,-2.00417385024329,0.0221203560736368,0.303131434662323,0.538427619969019
"100090",0.0706475534517426,0.655005460928797,0.154969082315345,0.773834114060113,-0.289796416099395,0.391412655675554,0.267174405181992,0.684141206252958
"100121",-0.840464334962448,0.00966482401930806,0.283606773355539,0.0541700717037248,0.507762678845918,0.0671925938192559,0.13871032422778,0.538427619969019
"100129",-0.356329040774353,0.352877462533234,0.371654517292823,0.536228624706959,2.26747070524641,0.0599489370439449,0.5816645097828,0.538427619969019
"100163",-1.33104230489561,7.6287749953753e-10,0.0978271257493336,2.28329235611583e-06,-0.377720030425533,0.59495064662886,0.602883412638351,0.799942714989565
"100182",-0.10622821137808,0.715130814890749,0.285596695205034,0.816380551135866,0.368605431599642,0.235058798892916,0.219468429711145,0.605354030006882
"100198",-0.848258558526726,0.00369979578120557,0.247100472051453,0.0289272460381218,0.819419207874156,0.341057658262543,0.661413836682273,0.656393297960186
"100206",0.188700344294669,0.324987825189536,0.185431277926172,0.510597669707234,-0.38331929280243,0.512533722507932,0.485496261946653,0.751902934527458
"100210",-0.0578229930154647,0.783646562076069,0.206848938363445,0.862806857082723,-0.86972473674635,0.149571495314719,0.380442992269835,0.563953621482208
"100213",-0.680050815498642,0.128346189028755,0.422522909117329,0.291041391515502,-2.20415878804087,0.344847180106361,1.79728791510636,0.657664564623408
"100226",-0.309755962807021,0.0244235878580891,0.123818065795215,0.100548059225937,0.0476305162656543,0.910464908781768,0.374653011367266,0.963682377153067
"100273",0.0836957160511305,0.723483884632738,0.232152005464825,0.823028227558261,0.36423108754221,0.167597694092199,0.171464087455357,0.573824743551812
"100317",0.051827268239231,0.833533854321319,0.242338785742759,0.896490503528723,0.637783016261413,0.194552814078315,0.331842522931822,0.584849179996589
"100383",0.110093691946029,0.646539729318711,0.23526270840061,0.767323355587078,0.449935916117696,0.471274226185721,0.510748172212535,0.727280110295322
"100434",1.70081354689698,0.000647811905711395,0.396685226368427,0.00906028520464582,2.35916390005762,0.0427086460570593,0.50383069245457,0.538427619969019
