"","Reprogramming","Interventions.Median_lifespan","Interventions.Max_lifespan","Interventions.CR","Interventions.GH_deficiency","Interventions.Rapamycin","Interventions.Common_liver","Aging.Brain","Aging.Muscle","Aging.Liver","Aging.All","Aging.Human","Aging.Rat","Aging.Mouse"
"11303",0.639024791367171,-0.00733446084040943,-0.020719416202387,-0.422083020950769,-0.319047717334097,-0.0136436292689552,-0.141856713997336,0.258768278517909,0.0513503404212169,0.162021232358705,0.121480233379511,1.12836859226553,0.397044068687353,0.192669240580105
"11305",-0.0357936733456323,-0.10114134429705,-0.10048713723319,-0.47451625652942,-1.10979977301113,-0.244545906270165,-0.504114241464875,0.125200231948167,-0.0130530373561817,0.343306017425814,0.106458340840465,0.614317323838634,0.460290594661087,0.0342671199556459
"11306",0.363116018598484,-0.0660376830092686,-0.109619488103619,0.173203994451411,-0.0612310577389054,0.0419325449710127,-0.0236014960388636,0.0139080859506069,-0.048262488357482,-0.17307365527309,-0.00492881795917716,0.348695466169457,-0.0697480353641626,-0.0695911919883037
"11363",0.147652411732002,0.237487998672616,0.219644428148977,0.767112308104256,0.661610613981927,0.183753984402069,0.448775008404284,0.0503130160395416,0.0325328163927678,-0.10007967909252,-0.0152289456708721,0.118102048766012,0.174786809319798,-0.031126821696389
"11370",-0.695685246458044,0.15690563820839,0.124160783984481,0.475223650963943,0.0609661940730262,-0.183206677603387,0.1686123804604,0.0925146196869561,-0.0181354452809653,-0.191360051439631,-0.0277379700143526,0.856774218627745,-0.0610287366419099,-0.0866327349886444
"11409",-0.00206066029455399,0.0483028980288308,0.137282675799082,0.0732227848866642,0.0830069487315898,0.0566966326101653,0.0876852482863177,0.113179903496133,-0.0412956831116609,-0.139088800030975,-0.0254774511113163,0.00545436491752489,0.0244327719468383,-0.0227899750114868
"11416",-0.825004099803549,-0.0127140334974665,0.0285115948350654,-0.240119017313934,-0.63735205581884,0.12539377108459,-0.37351495561768,-0.0353000115220345,0.0455496788959672,-0.0629540007963543,0.0505017619249404,-0.0316412843451317,0.0160646445323289,0.0170541066204416
"11421",1.5151383956835,0.0195405067029383,0.0572690198999317,0.35238615529115,0.481678653158416,-0.253581118275086,0.252446194594987,0.0197644035100405,-0.148106704853302,0.69274981438872,0.0400067845401334,-0.542061479359826,0.232097004510467,-0.018447508333491
"11429",0.265849932362793,0.414582058824135,0.577033599621217,0.571914900254588,0.838009479764303,-0.0432251155175917,0.421828665125731,-0.0181906335527241,-0.0593268134897029,-0.0638787180151631,-0.0644715890676559,-0.621334438641071,-0.201808773088848,-0.00152614570431666
"11430",-0.329491302742052,0.10350212855808,0.113050219218338,0.24147432487562,0.0328141535657475,-0.164989467182581,-0.147451697588368,0.0171533988643399,0.0531799614366291,-0.0310058578546975,0.034993890422424,0.0887078630015432,0.247015523770218,0.0277079027838546
